case_id,risk_regime,kind,authority,expected_authority,action,expected_action,core_failures,expected_core_failures,triggered_rules,expected_triggered_rules,expectation_match
T13_R4_DEDUPLICATED_EVIDENCE_CONTROL,R4,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE,R5,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G1,G1,RA-019|RA-020,RA-019|RA-020,1
T15_R5_ALIGNED_ESTIMAND_CONTROL,R5,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T16_R6_DEPLOYMENT_MISMATCH,R6,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G3,G3,RA-019|RA-020,RA-019|RA-020,1
T17_R6_SUPPORT_FAILURE,R6,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G4,G4,RA-019|RA-020,RA-019|RA-020,1
T18_R6_DEPLOYMENT_SUPPORT_CONTROL,R6,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T19_R7_COMPOUND_RISK,R7,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G1|G2,G1|G2,RA-004|RA-005|RA-008|RA-014|RA-016|RA-017|RA-019|RA-020,RA-004|RA-005|RA-008|RA-014|RA-016|RA-017|RA-019|RA-020,1
T20_REPEATED_CONFIRMATION_RELEASE,R1,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-013,RA-013,1
T21_CONTAMINATED_C_WITH_VALID_Q,R1,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-014,RA-014,1
T22_CONFIRMATION_USED_FOR_SELECTION,R1,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-022,RA-022,1
T23_PRACTICAL_THRESHOLD_FAILURE,R0,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-023,RA-023,1
T24_TERMINAL_MISSINGNESS_INVALID,R7,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-025,RA-025,1
T25_UNCERTAINTY_PROVENANCE_FAILURE,R7,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G5,G5,RA-019,RA-019,1
T26_DOMAIN_ADMISSIBILITY_FAILURE,R7,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G6,G6,RA-019,RA-019,1
T27_PROTOCOL_REGISTRATION_FAILURE,R7,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G0,G0,RA-001|RA-019,RA-001|RA-019,1
T28_UNBROKERED_EMPIRICAL_ACCESS,R7,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-002,RA-002,1
T29_INCOMPLETE_SEARCH_LINEAGE,R7,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-003,RA-003,1
T30_DEVELOPMENT_EFFECT_PROMOTED,R0,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-022,RA-022,1
T31_POSTFREEZE_VERSION_MUTATION,R7,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,PROTOCOL_INVALID,PROTOCOL_INVALID,,,RA-029,RA-029,1
T32_DEVELOPMENT_CEILING_EXCEEDED,R7,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-009,RA-009,1
T33_FINAL_BATCH_NOT_FROZEN,R3,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-012,RA-012,1
